Unconnected pairs,CN,JI,PA,AA,RA
"(1, 2)",13.199999999999998,0.0,69,0.0,0.0
"(1, 3)",13.199999999999998,0.0,92,0.0,0.0
"(1, 4)",13.199999999999998,0.0,368,0.0,0.0
"(1, 5)",13.199999999999998,0.0,1058,0.0,0.0
"(1, 6)",7.919999999999998,0.0,46,0.0,0.0
"(1, 7)",26.999999999999996,0.1267605633802817,1311,2.3813492366777904,0.21844018708149143
"(1, 9)",20.599999999999998,0.023809523809523808,460,0.23233849357411737,0.013513513513513514
"(1, 10)",22.199999999999996,0.06382978723404255,621,0.87182652241325,0.10389492753623189
"(1, 11)",13.199999999999998,0.0,529,0.0,0.0
"(1, 12)",20.599999999999998,0.023255813953488372,483,0.21908933281411486,0.010416666666666666
"(1, 13)",13.199999999999998,0.0,575,0.0,0.0
"(1, 14)",20.599999999999998,0.02127659574468085,575,0.21908933281411486,0.010416666666666666
"(1, 15)",22.199999999999996,0.10714285714285714,184,0.898328791487758,0.10829228243021347
"(1, 16)",22.999999999999996,0.14285714285714285,207,1.205256467917893,0.14675382089175193
"(1, 17)",13.199999999999998,0.0,46,0.0,0.0
"(1, 18)",22.199999999999996,0.05263157894736842,851,0.6991309871123007,0.041607142857142856
"(1, 19)",20.599999999999998,0.021739130434782608,552,0.21908933281411486,0.010416666666666666
"(1, 20)",22.999999999999996,0.13333333333333333,253,1.0553297071917371,0.0968744772624083
"(1, 21)",9.899999999999999,0.0,23,0.0,0.0
"(1, 22)",26.199999999999996,0.23529411764705882,437,2.0111543130031593,0.15088879029872818
"(1, 23)",21.4,0.058823529411764705,299,0.4514278263882322,0.02393018018018018
"(1, 25)",13.199999999999998,0.0,138,0.0,0.0
"(1, 26)",13.199999999999998,0.0,713,0.0,0.0
"(1, 27)",13.199999999999998,0.0,299,0.0,0.0
"(1, 28)",13.199999999999998,0.0,644,0.0,0.0
"(1, 29)",13.199999999999998,0.0,713,0.0,0.0
"(1, 30)",9.899999999999999,0.0,23,0.0,0.0
"(1, 31)",20.599999999999998,0.023809523809523808,460,0.21908933281411486,0.010416666666666666
"(1, 32)",28.599999999999998,0.20754716981132076,943,2.7267809243220418,0.19752107457636128
"(1, 33)",28.599999999999998,0.2391304347826087,782,2.7267809243220418,0.19752107457636128
"(1, 34)",13.199999999999998,0.0,92,0.0,0.0
"(1, 36)",21.4,0.0425531914893617,598,0.48663571923316884,0.03422619047619047
"(1, 37)",13.199999999999998,0.0,115,0.0,0.0
"(1, 38)",13.199999999999998,0.0,437,0.0,0.0
"(1, 39)",13.199999999999998,0.0,138,0.0,0.0
"(1, 40)",28.599999999999998,0.2391304347826087,782,2.7267809243220418,0.19752107457636128
"(1, 41)",13.199999999999998,0.0,161,0.0,0.0
"(1, 43)",27.799999999999997,0.23809523809523808,667,2.6150561938066645,0.22383308738095628
"(1, 44)",29.4,0.25,851,2.9894782353359046,0.2197432967985835
"(1, 45)",13.199999999999998,0.0,161,0.0,0.0
"(1, 47)",9.899999999999999,0.0,69,0.0,0.0
"(1, 48)",22.199999999999996,0.10714285714285714,184,0.898328791487758,0.10829228243021347
"(1, 49)",20.599999999999998,0.015625,966,0.21908933281411486,0.010416666666666666
"(1, 50)",25.4,0.16279069767441862,621,1.9203744603911175,0.20574177438307872
"(1, 51)",13.199999999999998,0.0,437,0.0,0.0
"(1, 52)",20.599999999999998,0.03571428571428571,138,0.21908933281411486,0.010416666666666666
"(1, 53)",22.999999999999996,0.06557377049180328,966,0.9666773735313547,0.06541666666666666
"(1, 54)",21.4,0.029850746268656716,1058,0.4514278263882322,0.02393018018018018
"(1, 55)",21.4,0.043478260869565216,575,0.48663571923316884,0.03422619047619047
"(1, 56)",22.999999999999996,0.0784313725490196,736,0.9666773735313547,0.06541666666666666
"(1, 57)",20.599999999999998,0.01694915254237288,851,0.21908933281411486,0.010416666666666666
"(1, 58)",28.599999999999998,0.25,736,2.7267809243220418,0.19752107457636128
"(1, 59)",21.4,0.06060606060606061,276,0.5011885078608477,0.03707482993197279
"(1, 61)",20.599999999999998,0.01818181818181818,759,0.21908933281411486,0.010416666666666666
"(1, 62)",28.599999999999998,0.2619047619047619,690,2.7267809243220418,0.19752107457636128
"(1, 63)",28.599999999999998,0.2558139534883721,713,2.7267809243220418,0.19752107457636128
"(1, 64)",28.599999999999998,0.25,736,2.7267809243220418,0.19752107457636128
"(1, 65)",28.599999999999998,0.24444444444444444,759,2.7267809243220418,0.19752107457636128
"(1, 66)",28.599999999999998,0.2391304347826087,782,2.7267809243220418,0.19752107457636128
"(1, 67)",22.199999999999996,0.061224489795918366,667,1.0207698572261068,0.16728778467908903
"(1, 68)",26.199999999999996,0.27586206896551724,322,1.9786749725123638,0.14307219357468526
"(1, 69)",25.4,0.10144927536231885,1219,1.7053049973355734,0.11781906906906907
"(1, 70)",25.4,0.08974358974358974,1426,1.7053049973355734,0.11781906906906907
"(1, 71)",22.199999999999996,0.06,690,0.8850756831732525,0.10699177438307873
"(1, 72)",22.199999999999996,0.10344827586206896,207,0.87182652241325,0.10389492753623189
"(1, 73)",20.599999999999998,0.018867924528301886,713,0.2442393366759723,0.016666666666666666
"(1, 75)",13.199999999999998,0.0,391,0.0,0.0
"(1, 76)",13.199999999999998,0.0,368,0.0,0.0
